imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0322027,Dil Tera Diwana,1996,1996,Drama,139,India,Hindi,Lawrence D'Souza,"Nawab Arzoo, Nawab Arzoo",Chiragdeep International,5.0,166,,,,,1.0,
tt0322082,Rencontre avec le dragon,2003,2003-08-06,Drama,109,"France, Luxembourg",French,Hélène Angel,"Hélène Angel, Jean-Claude Janer",Diaphana Films,4.5,291,,,$ 649098,,3.0,7.0
tt0322110,Dvoynikat,1980,1980-03-17,Comedy,98,Bulgaria,Bulgarian,Nikolay Volev,Bratya Mormarevi,Boyana Film,8.4,591,,,,,,
tt0322120,E=mc2,2002,2002-08-23,"Action, Comedy",93,Poland,"Polish, Russian, Vietnamese",Olaf Lubaszenko,Robert Maka,Best Film,5.6,1602,PLN 3200000,,$ 1353035,,2.0,
tt0322125,Ébrenjárók,2002,2002-09-05,"Drama, Mystery",102,Hungary,Hungarian,Bence Miklauzic,"Balázs Maruszki, Bence Miklauzic",,6.7,146,,,,,2.0,1.0
tt0322132,Edhak el soura tetlaa helwa,1999,1999-10-22,"Comedy, Drama, Romance",113,Egypt,Arabic,Sharif Arafah,Wahid Hamid,,6.9,741,,,,,1.0,
tt0322177,Drengen der ville gøre det umulige,2002,2002-12-18,"Animation, Family",75,"Denmark, France","Danish, Swedish",Jannik Hastrup,"Bent Haller, Michel Fessler",Dansk Tegnefilm,6.8,375,DKK 32400000,,$ 806725,,4.0,8.0
tt0322189,Efapax,2001,2001-11-30,Comedy,85,Greece,Greek,Nikos Zapatinas,Nikos Zapatinas,Alpha TV,6.4,720,,,,,3.0,
tt0322241,Angel Killer,2002,2002-08-30,"Horror, Thriller",97,"UK, Canada",English,Ian David Diaz,"Julian Boote, Michael Derbas",Avrio Filmworks,4.0,276,,,,,5.0,4.0
tt0322250,Fara,1999,1999-07-01,"Drama, Thriller",89,"Russia, Kazakhstan",Russian,Abai Karpykov,"Boris Airapetyan, Leila Akhinzhanova",ABA Studio,6.4,118,,,,,,
tt0322259,2 Fast 2 Furious,2003,2003-06-20,"Action, Crime, Thriller",107,"USA, Germany","English, Spanish",John Singleton,"Gary Scott Thompson, Michael Brandt",Universal Pictures,5.9,246757,$ 76000000,$ 127154901,$ 236350661,38.0,418.0,113.0
tt0322289,Il fiore del male,2003,2003-02-14,Drama,104,France,French,Claude Chabrol,"Caroline Eliacheff, Louise L. Lambrichs",MK2 Productions,6.5,2925,,$ 182163,$ 7587959,67.0,36.0,63.0
tt0322298,El fondo del mar,2003,2003-08-28,"Drama, Thriller",92,Argentina,Spanish,Damián Szifron,Damián Szifron,Aeroplano Cine,6.7,1148,,,$ 220704,,6.0,5.0
tt0322330,Quel pazzo venerdì,2003,2003-11-28,"Comedy, Family, Fantasy",97,USA,"English, Mandarin",Mark Waters,"Mary Rodgers, Heather Hach",Casual Friday Productions,6.2,122538,$ 20000000,$ 110230332,$ 160846332,70.0,291.0,134.0
tt0322420,La vita è un miracolo,2004,2005-03-04,"Comedy, Romance, Music",155,"Serbia, France, Italy","Serbian, English, German, Hungarian",Emir Kusturica,"Ranko Bozic, Emir Kusturica",Les Films Alain Sarde,7.6,12097,$ 8000000,,$ 5363574,,26.0,54.0
tt0322423,Glosniej od bomb,2001,2002-10-04,"Comedy, Drama, Romance",87,Poland,"Polish, English",Przemyslaw Wojcieszek,Przemyslaw Wojcieszek,Agencja Produkcji Filmowej,6.8,298,,,,,2.0,
tt0322545,Herr Lehmann,2003,2003-10-02,"Comedy, Drama",105,Germany,German,Leander Haußmann,"Sven Regener, Sven Regener",Boje Buck Produktion,7.2,6638,EUR 6000000,,$ 4143889,,16.0,21.0
tt0322589,Honey,2003,2004-04-30,"Drama, Music, Romance",94,USA,English,Bille Woodruff,"Alonzo Brown, Kim Watson",Universal Pictures,5.4,42827,$ 18000000,$ 30308417,$ 62228395,37.0,144.0,98.0
tt0322590,Honey Baby,2004,2005-02-25,"Drama, Romance",105,"Finland, Germany, Latvia, Russia","English, Latvian, Russian",Mika Kaurismäki,"Eike Goreczka, Mika Kaurismäki",Eho Filma,5.7,335,EUR 2500000,,,,3.0,6.0
tt0322621,Hey DJ,2003,2020-07-20,"Comedy, Drama, Music",86,USA,English,"Migel Delgado, Jon Jacobs",James Ricardo,Full Circle Studios,6.5,502,$ 200000,,,,12.0,4.0
tt0322629,Houve uma Vez Dois Verões,2002,2002,"Comedy, Romance",75,Brazil,Portuguese,Jorge Furtado,Jorge Furtado,Casa de Cinema de Porto Alegre,7.1,698,,,,,4.0,4.0
tt0322645,Inuyasha the Movie - Un sentimento che trascende il tempo,2001,2005-05-25,"Animation, Action, Adventure",100,Japan,Japanese,Toshiya Shinohara,"Rumiko Takahashi, Katsuyuki Sumizawa",Sunrise,7.3,2225,,,$ 10539779,,13.0,10.0
tt0322651,Dream Warrior,2003,2003-09-18,"Action, Sci-Fi",95,"USA, Croatia",English,Zachary Weintraub,Zachary Weintraub,Jadran Film,4.4,476,,,,,20.0,3.0
tt0322659,Northfork,2003,2003-08-01,"Drama, Fantasy",103,USA,English,Michael Polish,"Mark Polish, Michael Polish",Paramount Classics,6.3,5239,$ 1900000,$ 1420578,$ 1599804,64.0,126.0,62.0
tt0322674,De Tweeling,2002,2002-12-12,"Drama, Romance, War",137,"Netherlands, Luxembourg","Dutch, German, English, French",Ben Sombogaart,"Tessa de Loo, Marieke van der Pol",IDTV Film,7.4,6356,,$ 1563,$ 5938165,,30.0,27.0
tt0322700,I Love Your Work,2003,2008-07-02,"Drama, Mystery",111,USA,English,Adam Goldberg,"Adrian Butchart, Adam Goldberg",Cyan Pictures,5.3,1777,$ 1650000,$ 3264,$ 3264,39.0,38.0,20.0
tt0322725,L'imbalsamatore,2002,2002-09-06,"Drama, Romance",100,Italy,Italian,Matteo Garrone,"Ugo Chiti, Massimo Gaudioso",Fandango,7.0,2129,,$ 56878,$ 384336,71.0,14.0,20.0
tt0322731,Impulsos,2002,2002-05-24,Thriller,91,Spain,Spanish,Miguel Alcantud,Miguel Alcantud,Castelao Producciones,4.5,109,,,$ 113759,,4.0,3.0
tt0322788,Ishtam,2001,2001-10-01,"Comedy, Drama, Romance",110,India,Malayalam,Sibi Malayil,Kalavur Ravikumar,,6.9,331,,,,,,
tt0322807,Jagoda: Fragole al supermarket,2003,2004-05-28,"Action, Comedy, Adventure",83,"Serbia, Germany, Republic of North Macedonia, Italy",Serbian,Dusan Milic,Dusan Milic,Fandango,6.5,1877,,,$ 77586,,10.0,10.0
